2026-04-16 17:48:36.241 [main] INFO  [] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@282831ea, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@118932fe, org.springframework.security.web.context.SecurityContextHolderFilter@7d91e9c9, org.springframework.security.web.header.HeaderWriterFilter@11e323a6, org.springframework.web.filter.CorsFilter@d108406, org.springframework.security.web.authentication.logout.LogoutFilter@57bd0b3c, com.huanjing.geo.common.security.JwtAuthenticationFilter@1689527c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@759fe679, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7056cda8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7153995c, org.springframework.security.web.session.SessionManagementFilter@50061d56, org.springframework.security.web.access.ExceptionTranslationFilter@52dbd3d, org.springframework.security.web.access.intercept.AuthorizationFilter@5eace68f]
2026-04-16 17:48:36.483 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-04-16 17:48:36.491 [main] INFO  [] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2026-04-16 17:48:36.498 [main] INFO  [] com.huanjing.geo.GeoApplication - Started GeoApplication in 3.451 seconds (process running for 3.641)
2026-04-16 17:48:36.611 [main] INFO  [] c.h.g.c.config.InitPasswordRunner - admin 密码验证通过
2026-04-16 17:49:15.112 [http-nio-8080-exec-2] INFO  [] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-16 17:49:15.112 [http-nio-8080-exec-2] INFO  [] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-04-16 17:49:15.113 [http-nio-8080-exec-2] INFO  [] o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-04-16 17:50:48.552 [background-preinit] INFO  [] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-04-16 17:50:48.569 [main] INFO  [] com.huanjing.geo.GeoApplication - Starting GeoApplication using Java 21.0.9 with PID 30520 (D:\code\sanhe-geo-project\geo-project\geo-server\target\classes started by Administrator in D:\code\sanhe-geo-project\geo-project\geo-server)
